Date,Open,High,Low,Close,Adj Close,Volume,Profit
2020-06-08,126.45315551757812,129.90440368652344,126.45315551757812,129.78012084960938,103.9269790649414,5617543,3.32696533203125
2020-06-15,113.94837188720705,116.988525390625,113.08795166015624,116.3001937866211,93.13235473632812,5385959,2.3518218994140483
2020-06-25,111.62523651123048,113.96749877929688,110.9942626953125,113.79541015625,91.12653350830078,6412608,2.170173645019517
2020-06-29,112.79158782958984,114.5124282836914,112.20841217041016,114.48374938964844,91.6777572631836,4350837,1.6921615600585938
2020-06-30,113.94837188720705,115.86997985839844,113.76673126220705,115.45889282226562,92.45863342285156,4099797,1.5105209350585795
2020-07-10,110.42064666748048,113.35564422607422,110.21988677978516,113.14531707763672,90.60595703125,4482842,2.724670410156236
2020-07-14,113.4034423828125,115.57361602783205,112.73422241210938,115.2963638305664,92.32848358154295,4742982,1.8929214477539062
2020-07-22,120.36328887939452,123.77629089355467,120.26768493652344,123.011474609375,98.5066909790039,8572388,2.648185729980483
2020-08-04,118.37476348876952,120.3250503540039,118.37476348876952,120.30592346191406,96.34010314941406,3625541,1.9311599731445455
2020-08-07,118.06883239746094,119.56979370117188,117.79158782958984,119.46463012695312,96.91900634765624,3818946,1.3957977294921875
2020-08-10,119.9043960571289,121.64435577392578,119.6749496459961,121.52007293701172,98.58654022216795,4150842,1.6156768798828125
2020-08-24,118.34607696533205,120.51625061035156,117.93498992919922,120.15296173095705,97.4774398803711,4258057,1.806884765625
2020-09-02,118.27915954589844,123.04015350341795,118.14531707763672,122.54302215576172,99.41645050048828,6895650,4.263862609863281
2020-09-16,117.3135757446289,120.28680419921876,117.3135757446289,118.75717163085938,96.3450698852539,3962666,1.4435958862304688
2020-09-17,117.22753143310548,120.02867889404295,116.60611724853516,119.42638397216795,96.88797760009766,3317180,2.1988525390624716
2020-10-02,113.80496978759766,116.39579010009766,113.59464263916016,115.26768493652344,93.51412963867188,3059759,1.4627151489257812
2020-10-29,102.53346252441406,104.818359375,101.86424255371094,104.1204605102539,84.47062683105469,7071169,1.5869979858398438
2020-10-30,103.15487670898438,106.88336181640624,103.011474609375,106.74951934814452,86.60353088378906,8285889,3.594642639160142
2020-11-05,108.31739807128906,110.21988677978516,108.04015350341795,109.7227554321289,89.01564025878906,5127701,1.4053573608398438
2020-11-13,110.12428283691406,112.20841217041016,109.95220184326172,111.7112808227539,91.94305419921876,4898000,1.5869979858398438
2020-11-23,112.26577758789062,115.21988677978516,112.11280822753906,114.8087921142578,94.49244689941406,5910318,2.5430145263671733
2020-11-24,115.54492950439452,119.24474334716795,115.49713134765624,118.94837188720705,97.89949798583984,8109115,3.4034423828125284
2020-12-02,117.44741821289062,119.15869903564452,117.02677154541016,119.13957977294922,98.05685424804688,3860472,1.6921615600585938
2020-12-04,118.5181655883789,121.77820587158205,118.20267486572266,121.60611724853516,100.08692932128906,5776849,3.08795166015625
2020-12-15,118.91969299316406,120.3919677734375,118.011474609375,120.3919677734375,99.0876235961914,4556585,1.4722747802734375
2020-12-31,118.75717163085938,120.4875717163086,118.53728485107422,120.34416961669922,99.04827117919922,3738822,1.5869979858398438
2021-01-06,121.3193130493164,126.08030700683594,121.14722442626952,123.60420989990234,101.7314453125,8322708,2.2848968505859375
2021-01-21,124.397705078125,126.42447662353516,124.3307876586914,125.86042022705078,103.58839416503906,13116003,1.4627151489257812
2021-01-26,113.93881225585938,117.1988525390625,113.21223449707033,117.1032485961914,96.380859375,11186656,3.1644363403320312
2021-02-22,113.2887191772461,115.80306243896484,113.23136138916016,115.54492950439452,96.36908721923828,6149643,2.2562103271484233
2021-02-24,115.4875717163086,118.05927276611328,115.21988677978516,117.79158782958984,98.24288940429688,6087720,2.30401611328125
2021-03-03,115.20076751708984,117.23709106445312,114.7036361694336,116.97896575927734,97.56512451171876,7744898,1.7781982421875
